"","Customer","Freq","Monetary","total_num_products","recency","samples_received","Customer Gender","Country","no_disc","0_25","25_abv","retail","third_party","corp","website","fragrance","skincare","bathbody","home","haircare","makeup","oral","beauty_acc","fashion_acc"
"1",1000350,2,867.82,4,347,1,"F","SG","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No"
"2",1000380,1,27.1,2,772,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"3",1000440,1,120.56,2,624,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"4",1000448,3,482.03,10,368,3,"F","SG","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No"
"5",1000451,2,1005.56,6,401,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No"
"6",1000526,1,36.45,1,658,0,"F","SG","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"7",1000533,1,39.25,1,525,0,"F","SG","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No"
"8",1000554,1,84.11,1,598,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"9",1000557,6,2080.68,15,141,3,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
"10",1000558,1,156.3,1,422,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"11",1000580,4,194.63,8,232,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"12",1000665,1,175.79,1,665,1,"M","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"13",1000690,1,238.88,1,720,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"14",1000699,2,172.85,3,325,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No"
"15",1000729,1,1218.36,11,663,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes"
"16",1000753,1,131.67,1,426,1,"F","SG","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"17",1000762,1,182.41,1,292,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"18",1000766,2,1037.04,4,349,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"19",1000837,1,728.33,5,356,2,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","Yes","No"
"20",1000845,2,498.05,2,394,2,"F","SG","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No"
